127.0.0.1 - - [17/Mar/2023:14:14:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:14:35 +0900] "GET /ch03/page_errorPage.jsp HTTP/1.1" 500 2364
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:15:22 +0900] "GET /ch03/page_errorPage.jsp HTTP/1.1" 500 2364
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:25:32 +0900] "GET /ch03/page_errorPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:25:32 +0900] "GET /images/error.png HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:25:38 +0900] "GET /ch03/page_errorPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:25:38 +0900] "GET /images/error.png HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:25:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:34:14 +0900] "GET /ch03/page_errorPage.jsp HTTP/1.1" 500 2906
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:34:14 +0900] "GET /images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:40:49 +0900] "GET /ch03/page_errorPage.jsp HTTP/1.1" 500 2906
0:0:0:0:0:0:0:1 - - [17/Mar/2023:14:40:49 +0900] "GET /images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:04:10 +0900] "GET /ch03/readParameterjsp.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:04:45 +0900] "GET /ch03/readParameter.jsp?memId=a001 HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:04:59 +0900] "GET /ch03/readParameter.jsp?memId=a001 HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:05:04 +0900] "GET /ch03/readParameter.jsp?memId= HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:05:08 +0900] "GET /ch03/readParameter.jsp? HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:10:51 +0900] "GET /ch03/readParameter.jsp HTTP/1.1" 500 234
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:22 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:25 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:25 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:27 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:49 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:51 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:51 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:52 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:52 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:53 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:34:58 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:35:15 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:35:16 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:35:17 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:35:18 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:35:23 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [17/Mar/2023:15:35:23 +0900] "GET /ch03/include01_header.jsp HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [17/Mar/2023:16:02:56 +0900] "GET /ch03/include01_footer.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [17/Mar/2023:16:03:08 +0900] "GET /ch03/include01_footer.jsp?memId=%EA%B0%9C%EB%98%A5%EC%9D%B4 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [17/Mar/2023:16:05:06 +0900] "GET /ch03/include01_footer.jsp?memId=%EA%B0%9C%EB%98%A5%EC%9D%B4 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [17/Mar/2023:16:05:23 +0900] "GET /ch03/include01.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [17/Mar/2023:16:06:44 +0900] "GET /ch03/include01.jsp HTTP/1.1" 200 243
